listing_id,comments
1033,"Eloizio and Regina were wonderful hosts. They made us feel very welcome and were there to answer any questions we had. Their home is in a terrific location to get to malls, and beaches. The area is quiet, the pool area was a great place to sit and read; Eloizio is a friendly and gracious host. The room is exactly as described. Private, nice view, nice pool, mini fridge in room. Pie-zano’s Pizza and a small Local Pub are 10min walk away. I would definitely stay here again.; Eloizio is unforgettably warm and friendly. We had to check in LATE at night but he was exceedingly kind to us. His home is immaculate! Bedroom comfortable with sliding glass door to pool and manatee waters; spacious bathroom, too. The Brazilian; Eloizio is very kind and was a wonderful host! He made my stay very pleasant. My room and bathroom were neat and clean. I enjoyed the view of his pool and the canal from the bedroom patio doors. My wireless internet worked well. I stayed in Eloizio's; Eloizio is very pleasant and very informative about the area. Was a great location. Although the refrigerator in our room froze everything, Eloizio was happy to let us use the kitchen refrigerator. We were also free to use the kitchen any time. The po; Eloizio was away while we were there but still managed to communicate effectively and make sure that we were comfortable. So great!; Eloizio welcomed me like I was a long-lost friend. The hospitality was fantastic. It is a beautiful home in a working neighborhood, just feet off the canal. Beautiful patio and incredibly kind hosts. It wasn't anything fancy. It was clean and just right."
1034,"Eloizio's place was a gem compared to his photos. He is a gracious host who is always willing to stop and chat. I felt like he was a long lost family member. His home is spotless, the kitchen, room, patio, bathroom were all really clean. I enjoyed my s; Eloizio's place was better than expected. Their hospitality and williness to help was greatly appreciated. The place was clean, we were able to use the kitchen with no problems and there was delicious fresh coffee made everyday. I highly recommend stayin"
1035,"Eloizio’s home is more beautiful than his pics show. It’s a quiet neighborhood near the beach. This was the first time using ABNB and I was grateful to find such a great man who now I consider a friend.; Eloizo is a great and super friendly hoist. The house is amazing, with a pool right besides the canal where you can enjoy a nice view and have a relaxing time.; Elozio is a wonderful host and his home is comfortable, clean and quiet - with a lovely patio overlooking a smalll canal. Excellent coffee every morning made it a pleasure to get up and start the day. My wife and I truly enjoyed our stay."
1036,"Elozio was very accommodating, nice view of a canal in the back yard.; Emails before arrival were very helpful. The kitchen was well equipped not only with small appliances, but also had a full spice cabinet and condiments in the frig. Comfortable home, rooms as described. Nice neighborhood with sidewalks - took several walk; Enchanting, funky, peaceful… the bungalow was a perfect fit for us. With a Key West feel, comfortable bed, great shower, and equipped with everything we possibly could have needed. We were especially taken with Ana’s art/found objects. Everyday th; Enersto's house was very nice. The house was beautiful and clean. We found everything we needed and we really enjoyed the pool. The host was very responding.; Enjoy !!! It’s amazing place !; Enjoy the amenities especially the hot tub,,,, ahhhhh that made my whole trip worthwhile ! The space is beautifully landscaped, I woke up to birds singing and fresh coconuts falling fro the trees. Life is Good!; Enjoy the state clean and quiet I recommend it"
1037,
1038,"Enjoy your private room in John's historical home, excellent location near stores, restaurants, Fort Lauderdale Airport and Cruise Terminal. Very friendly and interesting hosts!; Enjoy your stay at Nicolas' place as well as the garden and beach while you are in Hollywood, Fl.; Enjoyable experience; Enjoyable stay; Enjoyable stay - clean bedroom and shower, nice snacks in fridge, and great location. Enjoyed using the kayak for a quick paddle - a bit of a challenge to get it from the dock into the water and out without a ladder, but we managed. Overall a positive e; Enjoyable, quiet and within walking distance to the beach.; Enjoyed a lovely weekend laying by the pool with 6 girlfriends. There was more than enough space, lots of beach towels, and was extremely clean. Loved everything about it."
1039,"Enjoyed coffee with my hosts , and there knowledge of the area; Enjoyed Connie's place. Short walks to beach, restaurants, or just sitting in Adirondack chairs on the main strip. Loved the covered deck. Rented bikes a short walk away and then rode every day safely north and south on AIA.; Enjoyed Eric's place especially how close it was to downtown Fort Lauderdale! Although there were a few issues over all it was a good stay!; Enjoyed every minute of my stay. I would definitely come again!"
1040,"Enjoyed Fort Lauderdale and David and Cindy's hospitality. Their home is close to the airport and the cruise ship terminal. Perfect! David told us about local scenes and about the water taxi we enjoyed the entire day hopping in and out. Amazing way to see; Enjoyed it near the ocean,patio, beach equipment,washer-dryer; Enjoyed my brief stay at this nice place. Space was described well and messages communicated effectively for check-in. Good place to stay.; Enjoyed my short 2 night stay at Carmen's house very much. She had everything I required and even provided me with a beach umbrella, towel and cooler with ice packs....now that's a great touch.. I would highly recommend this room...cost effective and basi; Enjoyed my stay at Margaritas place. Her responses were always quick. A pleasure to deal with.; Enjoyed my stay at Mike and Tom's. Would most certainly recommend their place.; Enjoyed my stay at Raazee's place. Raazee is a great host. The home is in a great area - walkable - or a short drive to many restaurants and nightlife options. Five Stars."
1041,"Enjoyed my stay at Sarah’s place. Loved the pool. Great central location to just about EVERYTHING; Enjoyed my stay very much. The inside was very clean and inviting. The outside was even better with nice plants and furniture. Definitely would recommend; Enjoyed my stay. Has everything you need (except a microwave if that's important to you). Would definitely stay here again. Very convenient and close to shops, downtown, beach, highway, etc. Easy parking. Super nice and helpful hosts.; Enjoyed my stay. Nice location in Lauderdale by the sea; Enjoyed my stay....very comfortable bed; Enjoyed my time at Juan's! Would definitely return on future trips!; Enjoyed our family stay at Taylor's place. Very spacious, looks just like the photos. Located on a major roadway so can be noisy at times. Outside of home could be deceiving, looks a bit outdated and vacant but once you enter everything looks great! Pool"
1042,"Enjoyed our stay; Enjoyed our stay at a extremely clean unit with comfortable beds. Location is ideal for getting dining.; Enjoyed our stay at Al’s place. Excellent communication, perfect location, easy access to the beach and restaurants, great screened-in porch with a peekaboo view of the ocean for coffee in the AM and wine in the PM. Loved the 2 bathrooms for getting re; Enjoyed our stay at Deerfield beach; Enjoyed our stay at this place! Bill was great and he responded really quick . Place was beautiful and sparkling clean . I highly recommend this place .; Enjoyed our stay at this rental very much. The place was clean and Philip was very responsive. The description of the place was very accurate. Would definitely stay here again.; Enjoyed our stay for my families spring holiday. A short 2 block walk to the beach and plenty of pools to choose from otherwise. Took several day trips to neighboring cities including the florida keys to do some snorkeling in the coral reefs off Key Lar"
1043,"Enjoyed our stay here. Place was as advertised. Check in was a breeze and communication was great throughout. Would definitely stay here again!; Enjoyed our stay in this house. For 8 people it’s a spacious place. Kitchen is really nice. Pool is good. For the price, it’s definitely a good value. Only issue is the hot tub, it’s working but it was dirty when we got there.; Enjoyed our stay, property is quiet and comfortably fit our party of 9. The home is centrally located with just a short drive to the beach and restaurants.; Enjoyed our stay. Matt’s place is close to everything and located in a great area. We really liked our weekend stay!; Enjoyed our stay...; Enjoyed our vacation at this house.Larry quickly answered all our questions.We recommend it.; Enjoyed staying at Gabriel's lovely home, well located in a residential area, beautiful private gardens, helpful touches, spacious and comfortable. Gabriel was available to help with logistics, and answered questions promptly. Thanks, Gabriel."
1044,"Enjoyed staying at this cute cottage. Lots of nice touches. Convenient neighborhood.; Enjoyed talking with Jim very much, sorry we didn;t get to meet Erica.Loved the place, perfectly located in Fort Lauderdale for the A1A Marathon, or if you are taking a cruise or plane. Will definitely stay there again. Very comfortable bed, nice pool; Enjoyed the backyard tremendously both day and night. Loved the pool and hot tub. Appreciated the designated smoking area. Loved the lighting and landscaping. Room wasn’t much as advertised but had everything we needed. Enjoyed our stay!; Enjoyed the pool and the bicycle ride very much. The apartment is cosy and very clean! Perfect for two people!; Enjoyed the stay!!! Gordon is a great host..very friendly and helpful..felt at home..would definitely recommend..,; Enjoyed the stay. Very clean.; Entering the property was easy just following the accurate instructions of the owner. The place was nice and cleaned as it appeared in the pictures and there was a bottle of white wine on the table as a courtesy of the house. I just got to meet one of t"
1045,"Equipped with everything we needed, loved the place and beds were very comfortable!; Eric and Alexa's place was great! Clean, comfortable, and had everything we needed...a fantastic home away from home. They were easy to communicate with, and made sure we had everything we needed. I would highly recommend staying with them.; Eric and his wife are wonderful hosts. Their Air BNB shows that they put Love in to it. Being a first time Air BNB user, I wasn't sure what to expect and they exceeded my expectations. It's in the details where I was the most impressed. The cleanliness wa; Eric and his wife responded quickly to our phone calls and texts and were very accomodating. We will definitely stay with them, when in the area again. We discovered that Highway 84 is a much user friendly way to reach the property via Weston Rd. vs 595; Eric and Laura are fantastic. We had a special situation and they were flexible to help us and they were available when we need them. The suite is great , perfectly clean and comfortable. You feel like at home.The area is great and safe. It was a gr; Eric and Laura saved us as our originally booked Airbnb cancelled last minute. Despite really short notice we could check-in approx. 30 minutes after booking their place. It is simply perfect! We would've loved to stay longer and would always come back to; Eric and Laura were great hosts .. They answered our questions and concerns very quickly and were super sweet.. Some details of our stay:1- bed very comfy and big.. My husband is 6'4 and his feet fit!2- nice hot shower with great water pressure!3-Roku"
1046,"Eric and Laura were super nice! Even though we arrived early, they let us hangout in their backyard patio until the room was ready. Eric was very helpful when we needed to rent a car, and suggested the app Turo. The room itself was clean and very roomy fo; Eric and Laura's place is clean and tastefully done. Offering all of the essentials and a touch of personal care, it offers a lovely alternative to a boring hotel room. It has a terrific private patio to spend some time outside while you stay there.; Eric by far was the best host I ever encountered with airbnb. When you stay at Eric's place, you are getting a host that will guide you in the right direction, is quick to please and will listen for improvement and accommodation. I am one million percen; Eric did a fantastic job. He took his time to show us around and give us adequate instructions on where things are and how to use amenities. The place was very clean and well kept.; Eric gets it. Here's what you're getting : picture perfect place. A host that understands, accommodating and is wanting the best experience for you Couldn't ask for a better place and even better host. Thank you Eric!Larry; ERIC goes above and beyond helping: But when he is not home the dogs let you know...I am sure he will do all he can to accommodate you and rectify this. He is a great host!; Eric greeted us when we arrived, the unit is part of a house and it was OK. It was somewhat private and quite. The only issue we had was with the central AC which we couldn't control ourselves and needed to message Eric many times to turn the AC on. We a"
1047,Eric has a really nice outdoor space with a private bathroom and bedroom. It was a great way to spend our New Year’s .; Eric has a very nice place and lots of tips for things to see and do. I really enjoyed meeting his pups too.
1048,Eric has been a wonderful host for me and my mother over the four days we stayed on his property. The cottage has surpassed our expectations in every aspect. He was very fast with his responses and was very eager to help. The property is exactly as seen o; Eric is a fabulous host. I felt safe the entire time I was there which was important for me given this was my first Air BnB experience. I would recommend this pace to an individual who needs a place to stay within a 6 dollar uber ride to the beach. I woul
1049,"Eric is a fantastic host. The place kind reminds u of a cabana on an island. The space I had the natural breeze from the outside due to the kitchen and sitting and dining being in a screened in porch. It was awesome. The bedroom has AC, heat, and lots; Eric is a great host, he is very diligent and prompt in his response, very friendly.Made me feel at home :); Eric is a great host. His place is charming, unique, and a little quirky. Lots of amenities, quiet and comfortable. A good value and I'll stay again if I get the chance.; Eric is a very detailed host that gives you all information required when staying at his place. The location of the house is very central to all you need. I had no major issues with my stay and recommend Eric’s place to future guest"
1050,"Eric is a very nice person. The house and the pool were very clean and as we expect. We had me and girlfriend a great experience.The block is good and you have everything around 10-15min.It s a very nice place in fort lauderdale.I recommand you to choi; Eric is a very responsive and accommodating host, he's a pleasure to stay with. The cottage is comfortable with a stocked kitchen that I was able to prepare multiple meals in. The yard and pool are really pleasant, they're like a jungle paradise! It's a l; Eric is a very thoughtful and responsive host. His place is nice and clean in great location close to beautiful beaches in fort Lauderdale.; Eric is a very welcoming host, always very generous with his advice and suggestions on local goings on and things to do. Very responsive, you couldn't ask for a better host or better amenities for the price!; Eric is a wonderful host very thoughtful and gracious I would definitely come back here next time I'm in fort Lauderdale; Eric is a wonderful host! he is very knowledgeable about all the things to do in the area. The place is adorable and has awesome extras like ice makers, margarita makers, outdoor skillet and more.; Eric is an awesome host and very responsive in attending to all issues. The property feels like a cozy cottage and very conveniently located. I will stay there again!"
1051,"Eric is an awesome host, he is attentive, friendly, and stays in touch. The place is spacious, and loaded with towels, toiletries, is clean, has cable and the sleeper sofa is super comfy. He's got an amazing pool, but because of the rain, were unable to e; Eric is an awesome host! His house is beautiful. Upon arrival he was friendly and gave us a brief detailed tour of the area we were staying in. He was very clear on how to use everything. showed us how to use both kitchen and washing appliances. Eric made; Eric is awesome!; Eric is incredibly accommodating. The space is nice. The backyard is terrific. Convenient to everything. My only complaint was that there were some leaks after EXTENSIVE rain. I don’t blame Eric. The weather was unusual.; Eric is super host, learnt a lot about local things from him. Very responsive and I liked the neighborhood.; Eric is very friendly and helpful. There were a few minor issues but Eric was quick to help fix any problems.; Eric is very friendly, the place is very agreeable and it's worth it for the price, the pool is amazing, the water is warm, I'd come back for sure!!"
1052,"Eric is very hospitable and informative about the area. He has a wonderful pool and and backyard to relax in.; Eric is very kind, and helpfull, any question you might have pls just ask ,and Eric will reply right back.Charming place,well located ,i highly recommand it ,all the bestPhilippe/Paris/France; Eric it's a great host and his house is amazing. I highly recommend it; Eric kindly allowed us to have a late checkout.; Eric made sure every detail was covered with our stay. He truly cares about cleanliness and making sure you are absolutely comfortable. The pool was heated and we really enjoyed the backyard space. Its like being on your own tropical oasis. Thanks aga; Eric seems like a very nice guy, even though I did not get the chance to meet him. My initial impression of the place was good. I like the vibrant colors and the tropical feel of the place. I would say that I probably would have enjoyed my stay a lot more; Eric the host is great with communication, he offered a lot in a short amount of time, he had clean linen and blankets ready for me and my party and was awesome all around. I would recommend to anybody looking for a cute location in Fort Lauderdale stayin"
1053,Eric was a gracious host and the instructions on the itinerary were clear and understandable. Apt was clean and inviting.
1054,"Eric was a great host and communication super fast.; Eric was a great host and helped me navigate the space and amenities. The WiFi was super fast and connected easily. The neighborhood was quiet and upscale--I loved walking around at night, much better than staying at a hotel on a freeway exit. Will rememb; Eric was a great host definitely the best their is I totally recommend staying at his Airbnb; Eric was a great host, attentive & accompanying. Extended out stay through the app with no problem. 5/5 would stay again. Thank you, also the pool is nice & warm!; Eric was a great host, facility clean and nice. Great for 2 people, close to beaches and shopping. I would not hesitate to stay there again.; Eric was a great host, the space was ideal for a few nights. Plenty of privacy, lovely amenities, and beautiful scenery.; Eric was a great host, very kind and thorough! The place is charming and private."
1055,"Eric was a great host! After our first night, he contacted us to see how we settled in. He also replies in a very timely manner. The place was extremely clean and very nice. It is perfect for couple who are look for a place to relax at after busy day at t; Eric was a great host! He was readily available to answer all of questions and even checked in after our first night to make sure we were settled in. The neighborhood is great and super convenient to bars, great coffee, and food.; Eric was a great host! Hw accommodated us when we arrived early & helped us with places to explore. His home is a tropical paradise with plenty of ways to relax!; Eric was a great host. All emails were replied within minutes. I so enjoyed the wonderful pool and cabana area.the cottage was clean neat and very nicely done. I will stay here again and again; Eric was a perfect host, very accommodating, a joy to talk to, look forward to staying again. Lovely pool, comfy bed, just all around great experience, thank you so much!!; Eric was a phenomenal host. He upgraded me to another cute apartment (though the first one would have been totally fine as well). He was very easy to reach, but I wouldn't have needed to reach out-the space was clean, well appointed and very convenient.; Eric was a really great host and this unit was Super cute. I would definitely stay again."
1056,"Eric was a super host! His hospitality was greatly appreciated. As far as the place it self, no comment! — Aside from Eric being a great host, I wouldn’t stay here again (Wayyy to small for my liking).; Eric was a wonderful and accommodating host. The house is like a mini resort with beautiful landscaping and pool. We would certainly stay here again on our next trip!; Eric was a wonderful host, super friendly and provided us with plenty of local tips to get the most out of our stay. Our puppy had a great time in the huge backyard and we loved swimming in the pool. Thanks for a great trip; Eric was a wonderful host, the place was very nice and quiet. I stayed there for a month because I was taking a class, and Eric made sure I had everything I needed so that I could have a good study environment, he even got a desk for me to use in the room; Eric was always in touch and available to us. His place was a great home base for our trip. We got to enjoy Florida and a great little house, instead of staying in some typical hotel, with no charm and character. We will surely recommend this BnB to our f; Eric was an amazing host. He provided really helpful tips and suggestions before and during the trip. We were in Fort Lauderdale when the warning for Hurricane Dorian came in. Eric again provided very helpful advice and helped us check out early as well.; Eric was an awesome host and the place was as advertised. We stayed in contact through text messages, but it was always fast. The pool was nice and cleaned both mornings I was there, I only swam in it once because of all the mosquitoes, but that's Florida"
1057,"Eric was an awesome host! Just keep in mind that only one room has a.c. So if your bringing pets, they will be confined to one room.; Eric was an excellent host. He was very responsive and accommodating. He made sure we had everything we needed and then some. The apartment was super clean and comfortable. The poolside area was especially relaxing.; Eric was an excellent host. He was warm, pleasant, and bent over backwards to make sure that all my needs were satisfied. The place itself is very cool. The indoor/outdoor kitchen is very beautiful and naturey. It was a bit buggy around the time that I we; Eric was an incredibly friendly host who helped us with any questions we had about the area. The neighbourhood was great and the location of the unit was perfect for what we were looking for. The weather was very cold during our stay, so additional blan; Eric was an outstanding host. Great conversations, very helpful, very well rigged hosting system. His place is absolutely gorgeous, very zen and calming. 10/10 would come back!; Eric was attentive and friendly as a host. He was thorough in providing suggestions on how to get around as well as places to visit, when we asked. The apartment was clean and public transportation was easily accessible as that was our main means of trave; Eric was excellent!"
1058,"Eric was extremely pleasant and communicated with me well and gave me a wonderful tour. He has a very cozy clean spot. Great location , comfortable bed, and amazing pool!; Eric was extremely responsive throughout the whole process and was ready to help at any moment. Definitely a unique airbnb but Eric is very honest in his listing with what to expect. Wish we could have stayed during the day because we missed out on Eric's; Eric was great at communicating quickly with all the details needed to make my stay a 5-star one. Everything was nice and clean when I got there. The location was walkable to nearby restaurants and a grocery store (Publix).; Eric was great at helping us find our way around Ft Lauderdale. Very helpful.; Eric was great from the time I booked from the time I checked out. It's perfect location. Close to everything. He had clean linen and everything best air bnb yet. Great place and great tropical feeling; Eric was great host. His place was clean and comfortable. He is very responsive to messages and he is very respectful to guests privacy. He made sure we are comfortable. I would definitely stay again and recommend to everyone.; Eric was great, and his cabin was very nice. I stayed for three days and had no issues. The property was exactly as described. Bed was comfortable and neighborhood was great. Would recommend to anyone in the area."
1059,"Eric was great! He’s very kind, accommodating and easy to talk with. His place is also great! The neighborhood is lovely and the house is really cool. Lots of fun amenities! We definitely recommend Eric and his place.; Eric was great. He greeting me and showed me around and everything I needed to know. The place was very clean, and nice and cool when I arrived equipped with everything we could have needed. The pool was very clean, and very inviting. Should we ever n; Eric was one of the best hosts i’ve ever had in all my time of using Airbnb. The cabin was so clean and Eric had everything you could possibly need for a great Airbnb stay. Eric was readily available when we needed him and made us feel just like we were; Eric was quick with his communication and a great host. A great location for what we needed and the pool was a plus too!; Eric was quick with his responses to our questions and always able to solve any problems we had. Also, he gave us good suggestions on what to do and where to eat. The pool and set up of the Airbnb is incredible! Beautiful backyard and a beautiful pool st; Eric was super kind and a great host. Every question I had he came back with an answer within a minute or so. The space is very cozy, and stocked with all the miscellaneous kitchenware I didn't think to bring. The pool was heated and very well-kept. As fa; Eric was super on top of everything, from communication, to house rules, to accommodation. Super charming place, provided info on the town and went out of his way to make our stay great."
1060,"Eric was there to greet us and was an incredibly friendly, accommodating host. The space is fantastically located, spacious and comfortable. Highly recommended.; Eric was very friendly and beyond helpful. Everything was organized, neat and convenient he even had local trips and takeout laid out to read. The pool was clean and warm. Would 100% stay again.; Eric was very friendly and helpful and the place was easy to find. It was really cute and had a warm tropical feel. It was very open and offered alot of sunlight, but was also very private. There is a lot to do nearby, the beach was close. It was very qui; Eric was very friendly and helpful. I would have no reservations about staying there again. Eric was a wonderful host.; Eric was very good at communication with issues relating to check in and lack of toilet paper at the house. Because we stayed there for 5 nights we ran into a lot of the other guests staying at the property. One was an older guy, quiet, who we came home; Eric was very helpful and even let us check in early because we had a flight at 4 in the morning! Would definitely stay his his lovely cottage again.; Eric was very helpful with anything we needed during our stay. We are deffinitley planning on visiting his property again. I would 100 percent reccomend staying at his location."
1061,"Eric was very helpful, we loved it! We would recommend to all!; Eric was very kind and the place was private . Just don’t unplug the tv in the room because it throws off the internet for the entire property."
1062,Eric was very nice. I really liked his place too. Very clean and beautiful pool area. Highly recommended; Eric was very pleasant upon our late arrival. I was really glad he was able to meet us at a late time. The neighborhood was also great ( quiet and calm). Felt secured about my stay. Eric provided us with great advice about finding deals. He was accommodat; Eric was very responsive and a great host. Easy access to the property and private space. Heated pool was a real plus. Enjoyable stay.; Eric was very responsive and accommodating. We had a great stay.
1063,"Eric was very responsive and easy to coordinate with, and was very helpful with dining recommendations! Adorable backyard space with a wonderful tropical feel.; Eric was wonderful to work with and offered a clean place to stay. Pool area was amazing and relaxing. Definitely would recommend to anyone!; Eric was wonderful, and the place was beautiful! We would definitely stay here again.; Eric went above and beyond to make our stay memorable. It was our anniversary and we booked last-minute. He let us bring our dogs and when we forgot the leashes he had extras we could borrow. He gave us many recommendations of what to do and where to eat; Eric, a perfect host, very knowledgeable, and always available. What a charming cottage, with everything we needed. Very quire and loved our morning walks in the neighborhood. I will be back!!! THANK YOU ERIC.; Eric... Its great guy.. & hostVery worry about their guest.House is exactly what you see in picture.Good place to stay in Fort Lauderdale.Thxs Eric.; Eric's cabin was home away from home. It was quaint and absolutely beautiful! You're going to love this place."
1064,"Eric's cottage is a great little tropical oasis. Very welcoming and a great host. Will book again in the future.; Eric's cottage is a hidden gem. The cottage is spacious, clean and provides all the necessities. we immediately fell in love with the outside space which transcends you to a tropical, relaxing oasis. It's a great spot, easy access to 95 and a just a sho"
1065,"Eric's cottage is great! Really comfortable and he had everything we needed during our stay. Close to many Fort Lauderdale attractions and a safe neighborhood.; Eric's place in Wilton Manors is quaint and unique. We loved the feeling of being outdoors, with the comforts of indoors. If you love being surrounded by beautiful tropical foliage, having access to a wonderful pool and being located near the restaurant; Eric's place is a great bargain. It's a convenient distance from the beach and in a safe neighborhood. The pool is also very nice with subtle touches that make for an amazing swim day or night! The space is clean and has everything you need to have a fun; Eric's place is a tropical paradise. in the cottage, I appreciated the fully equipped kitchen and two TVs. Outside, I had nearly exclusive access to the warm pool and the private yard. I felt like I was in my own oasis. Eric is also a kind host, we ch; Eric's place is beautiful and I had a wonderful stay. It's clear he puts a lot of care in his home, both inside and out. I love how colorful it is and that it feels like you're outside, even when you're inside. It rained briefly and it made the place ver; Eric's place is comfortable, very clean and with a host always ready to assist in any situation. I did not have any issues to report, but he was always in touch to be sure me and my wife were having a very good time there. The neighborhood is quiet, clean; Eric's place is exactly as described in the listing. My boyfriend and I enjoyed every second using the backyard pool and amenities. Bed was comfortable and the general space was cute and stylish. Eric is one of the best hosts I've ever had. He was extreme"
1066,"Eric's place is great, he makes check-in super simple and I appreciated the cleanliness and privacy of the space.; Eric's place is in a good, quiet suburban neighborhood with a Publix supermarket, a cinema and a few chain restaurants within walking distance. The space seemed very small for the price, but it is spring break time in Florida now, so perhaps the price wil; Eric's place is in a great neighborhood and the place itself is very modern. Pics are very accurateand would stay there again.; Eric's place is really cute and is equipped with all the things you need when you are away. Eric communicates well with his guests and works hard to make everyone comfortable.; Eric's place is so much better than a hotel and is outstanding with his guests. Would recommend to anyone traveling in the fort Lauderdale area.; Eric's place is wonderful! So interesting and inventive and homey. The blackout blinds in the room were amazing and it was all very secluded, safe, and relaxing. Eric was also a fantastic host and very attentive to detail and amenities. Cannot recommend s; Eric's place was comfortable but please be aware of the camera placed in the living room/kitchen area. Also a few things were broken such as the door knob handle and the cabinet. Besides that it is a nice space."
1067,"Eric's place was extremely clean and convenient. Eric and his wife were very nice and hospitable, I would highly recommend this studio to anyone headed to south Florida.; Eric's place was FANTASTIC . It was easy to find, easy to park, easy to enter, a beautiful landscaped backyard with a nice size pool, ample room to be outside, a nice size bedroom and anything you would need in the main room. It's not a large space but it"
1068,"Eric's place was fantastic! I enjoyed my stay and felt right at home with peace and privacy which is everything for me. Another note, I'm all about a clean, clean, clean environment. The home itself, along with the suite was very clean and exceeded expect; Eric's place was great, we enjoyed it! The place is exactly as pictured, everything was clean and tidy. Eric was available to us whenever we had a question. We wish we could have stayed longer and been able to enjoy the place more.; Eric's place was in an excellent location in proximity to the conference I was attending. The neighborhood was clean and safe, and there were restaurants/grocery store within walking distance. The space was clean, and the bed was comfortable. The hosts pr; Eric's place was located in nice neighborhood very quiet close to everything. Eric was great host. 100% recommend; Eric's place was more than we could ever expected! The pool/backyard area is beautiful and is equipped with lawn chairs and hammocks. The heated pool was perfect at night and the string lighting across the palm trees lit up the backyard and looked like so; Eric's place was perfect for my little family. The space was nice and clean. We didn't get in the pool but we spent a lot of time by it. The space was very comfortable and quiet. We hope that Eric would welcome us back if we needed a place to stay in Fort; Eric's place was secluded in residential neighborhood of Ft. Lauderdale. It is 15 mins from the airport. Eric was open to answer any questions you might have regarding the area. The house for a little small for 4 adults but the pool outside sufficed the s"
1069,"Eric's place was the perfect location in Wilton Manors (close to everything), the pool was a great place to relax at the end of the day, and Eric was great at communication before, during, and after my stay. I would definitely stay here again."
1070,"Eric's place was WONDERFUL. It was easy to find, easy to park, easy to enter, a beautiful landscaped backyard with a nice size pool, ample room to be outside, a nice size bedroom and anything you would need in the main room. It's not a large space but it; Eric's space was exactly what we were looking for. We decided to bring the dogs and very happy we did as they were able to have a large space to roam around and play!; Erica place was fine, until the house party going on in the main house. I was informed by the police that after I alerted Eric he called and stated a burglary was in progress at his residence. This caused a mass amount of police with dogs to come to the h; Erica was a very gracious hostess. She answered all of our questions promptly and the home was amply stocked with amenities. The pool was amazing and was a highlight of our vacation! We hope to be back again and Margate House will be the first home we; Erica's house was convenient and comfortable for three families with children. The pool and spa area were the highlight. We would definitely stay here again. The only drawback is that it usually took 25-30 min to get the beach. There are a lot of traffic; Eric’s guest house and pool was beautiful and super clean. Private and spacious. Thank you!; Eric’s home is tucked away in a nice neighborhood and is stylish, cozy and well kept. The bed was so comfortable. I didn’t use the kitchenette area, however everything is there if needed. I would book again!"
1071,"Eric’s is very responsive and a wonderful host! The backyard is beautiful and this is a fun little spot that is great for a short weekend getaway.; Eric’s neighborhood was accessible to big highways and grocery store. The place was equipped with all the essentials to include shampoo, conditioner, and towels in the bathroom. Kitchen had silverware, plate, and wine glass so we were able to save money; Eric’s pad is the perfect Instgrammable home I hoped it would be. He was so helpful with tips of where to go locally, we had a great time! The bed/house was so comfy/quiet that on my 2nd night I slept for a full 12 hours!!! The Space is exactly as desc; Eric’s place has a really good “vibe�? to it. The pool area was so private and tropical I didn’t realize I was in a “neighborhood�?. The outdoor kitchen and bar space was a great asset. There was also, an outdoor shower, especially helpful whe; Eric’s place has all of the amenities as it is named! .... it is safe, very close to even all the “outside�? amenities, extremely cozy, clean, ... really, a little home away from home. I could write more but I think you get the idea. Do not hesit; Eric’s place is absolutely wonderful! Super clean with everything you need! We were able to cook every meal and enjoy the heated pool. The area is super quiet and close to any store you can think of. We will be returning. Thank you Eric!; Eric’s place is amazing, very clean, calm and quiet ... you really feel like home staying here. In the other hand you have many choices to eat around in less than a mile and Sawgrass Mall is a 10 minute drive ... I definitely recommend Eric’s place!!"
1072,"Eric’s place is AWESOME! Where do I begin... from booking Eric was very thorough with directions and instructions. Upon arrival we were greeted with the gorgeous palm trees in the back yard and lovely pool/patio area. The house itself is thoughtfully de; Eric’s place is great. My girlfriend and I stayed for only one night, but we enjoyed it a lot. There is a ton of things to do in the area, we rented a wave runner a few miles away. The cabin is fairly private, but the main living quarters is open from o; Eric’s place is great.. beautiful gardens and nice accomodation inc tv .. aircon and exclusive use of kitchen and bathroom! easy to find and grocery stores and gas stations nearby. has swim pool if you need.Eric very helpful to me when i had a few issu; Eric’s place is just like pictured/described and a really great value. The entire place appeared clean upon arrival, but we quickly realized it really needed a thorough deep scrubbing of all surface areas. The host was very responsive at any given time; Eric’s place is quaint, easy access, great location, nice amenities, and great experience.; Eric’s place is quiet and in a great neighborhood. We didn’t have a chance to use the pool but we were glad it was there. Eric greeted us when we arrived and was very helpful with tips and ideas for dinner and local entertainment.; Eric’s place is very clean and such a cute space for solos or a couple. It’s completely private and comes with the wonderful backyard with heated pool to share with the rest of the house. He is quick at responses and very good at communication. The lo"
